Date,Exchange_Close,Exchange_High,Exchange_Low,Exchange_Open,Brent_Close,Brent_High,Brent_Low,Brent_Open,Brent_Volume,Exchange_Change,Brent_Range,Year,Exchange_Return,Rolling_Volatility,Brent_Return,Brent_Return_Lag1
2023-03-13,460.0199890136719,460.0299987792969,456.0,460.0199890136719,80.7699966430664,83.47000122070312,78.33999633789062,82.54000091552734,38195,0.0,5.1300048828125,2023,0.004410456361728876,0.004055547969378155,-0.02428125351377952,0.014585151303084576
2023-03-14,455.0,460.0299987792969,460.0199890136719,460.0199890136719,77.44999694824219,80.87999725341797,76.87999725341797,80.69000244140625,33198,-5.019989013671875,4.0,2023,-0.010912545397071205,0.004520620692187491,-0.04110436836460141,-0.02428125351377952
2023-03-15,460.0299987792969,460.0400085449219,460.0299987792969,460.0299987792969,73.69000244140625,78.70999908447266,71.62999725341797,77.56999969482422,46598,0.0,7.0800018310546875,2023,0.011054942372080934,0.004976491359294742,-0.04854738095533617,-0.04110436836460141
2023-03-16,457.0,460.04998779296875,457.0,460.0400085449219,74.69999694824219,75.5199966430664,71.86000061035156,74.3499984741211,29873,-3.040008544921875,3.6599960327148438,2023,-0.006586524329580845,0.005120119200641383,0.013705990953644331,-0.04854738095533617
2023-03-17,457.0,459.95001220703125,459.94000244140625,459.94000244140625,72.97000122070312,75.9000015258789,71.3499984741211,74.55000305175781,34734,-2.94000244140625,4.5500030517578125,2023,0.0,0.005120119200641383,-0.02315924763340671,0.013705990953644331
2023-03-20,459.94000244140625,460.0,459.8900146484375,459.94000244140625,73.79000091552734,73.8499984741211,70.12999725341797,72.88999938964844,22185,0.0,3.720001220703125,2023,0.006433265736118798,0.00526183508732292,0.011237490490702662,-0.02315924763340671
2023-03-21,459.8900146484375,459.9200134277344,459.8900146484375,459.8900146484375,75.31999969482422,75.4000015258789,72.80999755859375,73.73999786376953,18784,0.0,2.5900039672851562,2023,-0.00010868329065405469,0.005261876883624662,0.020734500072013384,0.011237490490702662
2023-03-22,459.9200134277344,459.95001220703125,459.9200134277344,459.9200134277344,76.69000244140625,77.08999633789062,74.5199966430664,75.08999633789062,19933,0.0,2.5699996948242188,2023,6.523033408289969e-05,0.005250532282777615,0.018189096549826145,0.020734500072013384
2023-03-23,459.95001220703125,459.9800109863281,459.95001220703125,459.95001220703125,75.91000366210938,77.43000030517578,75.12000274658203,75.73999786376953,18685,0.0,2.30999755859375,2023,6.522607936387814e-05,0.005242867650085764,-0.01017080133610404,0.018189096549826145
2023-03-24,459.9800109863281,459.9800109863281,459.9700012207031,459.9800109863281,74.98999786376953,76.27999877929688,72.69000244140625,75.41999816894531,18941,0.0,3.589996337890625,2023,6.522182519996811e-05,0.005242874533446799,-0.01211969113366107,-0.01017080133610404
2023-03-27,459.9800109863281,461.0,459.8999938964844,459.9800109863281,78.12000274658203,78.43000030517578,74.80000305175781,75.23999786376953,13874,0.0,3.6299972534179688,2023,0.0,0.005242847008960631,0.041738964821663505,-0.01211969113366107
